date,text,url_imagen,categoria
,"* LUNA DIVIDIDA * . Silvia descubre que su esposo la engaña con Ariel y ella decide enfrentar al amante del hombre… https://t.co/NbQW2kefQG",,cultural
,"Esto es un #tbt de la semana pasada en #Ecuador🇪🇨  donde nos trataron muy bien..y @Honoriotorrealb disfruto más que… https://t.co/BF5B1VwLMJ",,cultural
,"RT @JEAdictaOficial: #Repost @nathsalvarez •  •  •  •  • #TanGalan @tangalanteatro Llega a #Guayaquil #Ecuador el 19 de Octubre #TeatroCent…",,cultural
,"* EL NOMBRE * - Monólogo - . María, representa a los que son anulados desde la negación de sus necesidades y sus de… https://t.co/Jwiamn3NyB",,cultural
,"#Repost @nathsalvarez •  •  •  •  • #TanGalan @tangalanteatro Llega a #Guayaquil #Ecuador el 19 de Octubre… https://t.co/6iklxMfNuy",,cultural
,""Cuando dominas tu arte puedes hacer lo que sea"  .- Billie Joe Armstrong - . . . #peliculas #movies #frases… https://t.co/zUmqnkikaw",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  . Te presentamos esta increíble obra teatral :  SECUE… https://t.co/Z6XUKspF9L",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  Te presentamos esta increíble obra teatral :  LA HERE… https://t.co/oyu3zOMYLY",,cultural
,"🎭S E G U N D O F E S T I V A L  D E M I C R O T E A T R O🎊  Te presentamos esta increíble obra teatral :  TE PERDON… https://t.co/7KxXsQUqPh",,cultural
,"* LUNA DIVIDIDA * . Silvia descubre que su esposo la engaña con Ariel y ella decide enfrentar al amante del hombre… https://t.co/OhdIx63gkE",,cultural
,"*** XXI FIARTES-G 2018 *** .- El Festival Internacional Artes Escénicas Guayaquil 2018 . .- Veintiún años cumple el… https://t.co/IdbW8WcXLD",,cultural
,""No puedes evitar lo que la gente diga, pero puedes dejar de darles de que hablar"   .- Miley Cyrus -  . . .… https://t.co/B668LyuORc",,cultural
,"* EL NOMBRE * - Monólogo - . María, representa a los que son anulados desde la negación de sus necesidades y sus de… https://t.co/3IhRkhJaD0",,cultural
,""No hables mal de una persona cuando ni siquiera has hablado con ella"  .- Nick Jonas -  . . . #peliculas #movies… https://t.co/pRwMaDqqLS",,cultural
,"* LUNA DIVIDIDA * . Silvia descubre que su esposo la engaña con Ariel y ella decide enfrentar al amante del hombre… https://t.co/MjOmvG7wwo",,cultural
,"* EL NOMBRE * - Monólogo - . María, representa a los que son anulados desde la negación de sus necesidades y sus de… https://t.co/Oo4sjnPshH",,cultural
,""No me gusta estudiar. Odio estudiar. Me gusta aprender. Aprender es hermoso"  .- Natalie Portman -  . . .… https://t.co/VAH6Pu64Ja",,cultural
,"*** XXI FIARTES-G 2018 *** .- El Festival Internacional Artes Escénicas Guayaquil 2018 . .- Veintiún años cumple el… https://t.co/8tT1JNa0Yv",,cultural
,"Escenografía de Don Quijote de la mancha✔✍🔨🔨  3 molinos  de 2mt , 1.60mt y 1.20mt  Con estructura de madera  Trabaj… https://t.co/obsBkUIsJD",,cultural
,""En verdad creo que la belleza es algo que viene desde adentro" .- Emma Watson - . . #peliculas #movies #frases… https://t.co/VzJq8tvlMF",,cultural
,"“Tengo que aprender a volar entre tanta gente de pie”  .- Luis Alberto Spinetta -  . . #peliculas #movies #frases… https://t.co/LPU8g1PTbM",,cultural
,"“No se puede deshacer el pasado, pero puedes no repetirlo”  .- Bruce Willis - . . #peliculas #movies #frases… https://t.co/M9UTthH3pe",,cultural
,"“¿Donde está tu voluntad de ser raro?” .- Jim Morrison - . . #peliculas #movies #frases #quotes #musica #teatro… https://t.co/REWtk9J0Cd",,cultural
,"** VUELOS ** .- Hoy . .- #Vuelos van legando a destino final... . .- Viernes 31 de agosto y sábado 01 Sept .- La Fa… https://t.co/flr898iHOB",,cultural
,"“Todo niño tiene algo para lo que es bueno, y uno espera que lo encuentre y se sienta atraído por ello” .- Tina Fey… https://t.co/JnGEOOqp3y",,cultural
,"** VUELOS ** .- Hoy y Mañana . .- #Vuelos van legando a destino final... . .- Viernes 31 de agosto y sábado 01 Sept… https://t.co/ufaBZ7Gizy",,cultural
,"RT @deSangreyRaza: Que alegría comunicaros que nuestra "Carmen de Mérimée" cruza próximamente el charco y lo hace de la mano del @TeatroSan…",,cultural
,"Que alegría comunicaros que nuestra "Carmen de Mérimée" cruza próximamente el charco y lo hace de la mano del… https://t.co/zubcMPgIwD",,cultural
,""El amor es tan importante como la comida pero no alimenta"  .- Gabriel García Marquez - . . . #peliculas #movies… https://t.co/OZ5ngKrny3",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  . Te presentamos esta increíble obra teatral :  URGEN… https://t.co/CUJuNhlgHS",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  . Te presentamos esta increíble obra teatral :  DOS L… https://t.co/A06iSZIPSo",,cultural
,""Cuando dominas tu arte puedes hacer lo que sea"  .- Billie Joe Armstrong - . . . #peliculas #movies #frases… https://t.co/zUmqnkikaw",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  . Te presentamos esta increíble obra teatral :  SECUE… https://t.co/Z6XUKspF9L",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  Te presentamos esta increíble obra teatral :  LA HERE… https://t.co/oyu3zOMYLY",,cultural
,"🎭S E G U N D O F E S T I V A L  D E M I C R O T E A T R O🎊  Te presentamos esta increíble obra teatral :  TE PERDON… https://t.co/7KxXsQUqPh",,cultural
,""No puedes evitar lo que la gente diga, pero puedes dejar de darles de que hablar"   .- Miley Cyrus -  . . .… https://t.co/B668LyuORc",,cultural
,""No hables mal de una persona cuando ni siquiera has hablado con ella"  .- Nick Jonas -  . . . #peliculas #movies… https://t.co/pRwMaDqqLS",,cultural
,""No me gusta estudiar. Odio estudiar. Me gusta aprender. Aprender es hermoso"  .- Natalie Portman -  . . .… https://t.co/VAH6Pu64Ja",,cultural
,"** EL ORIGEN DE LA PINTURA ** .- Inauguración - . Visión acerca del arte contemporáneo ecuatoriano. Curaduría de He… https://t.co/d5WiU9ITfR",,cultural
,"** EL ORIGEN DE LA PINTURA ** .- Inauguración - . Visión acerca del arte contemporáneo ecuatoriano. Curaduría de He… https://t.co/jfrVkzyuUu",,cultural
,"** EL ORIGEN DE LA PINTURA ** .- Inauguración - . Visión acerca del arte contemporáneo ecuatoriano. Curaduría de He… https://t.co/wwaOJzczrM",,cultural
,"RT @rayshavu: Meet “Sefar” original character @proseres  #traditionalart #watercolor  #acuarela  #pintura #originalcharacter #hero #comic #…",,cultural
,"Meet “Sefar” original character @proseres  #traditionalart #watercolor  #acuarela  #pintura #originalcharacter… https://t.co/ICMDU86JVV",,cultural
,"RT @FutbolFull2017: 🚩Nuevas camisetas temporada 2018 - 2019 ⚽ Solicítalas Bajo pedido 👉📱0996806235, entrega aproximada 15 días. #Ecuador #Q…",,deportivo
,"¡Gracias por visitarnos! ⚽️🙌🏼🇪🇨 - #Museo #MuseoFef #Museum #Futbol #Soccer #Historia #History #Ecuador #Guayaquil… https://t.co/9RFSfa2gAD",,deportivo
,"RT @museofef: Nuestras áreas interactivas te permiten acceder a fotografías, información, videos y más sobre los artífices del fútbol ecuat…",,deportivo
,"Nuestras áreas interactivas te permiten acceder a fotografías, información, videos y más sobre los artífices del fú… https://t.co/ij6O2U38ui",,deportivo
,"RT @golsportec: #Emelec 💙 #BarcelonaSC 💛  CENTRAL: Omar Ponce LÍNEA 1: Geovanny Vera LÍNEA 2: Flavio Nall 4to. ÁRBITRO: Diego Lara  COMISAR…",,deportivo
,"#Emelec 💙 #BarcelonaSC 💛  CENTRAL: Omar Ponce LÍNEA 1: Geovanny Vera LÍNEA 2: Flavio Nall 4to. ÁRBITRO: Diego Lara… https://t.co/AEbdc6FlkJ",,deportivo
,"RT @FutbolFull2017: 🚩Nuevas camisetas temporada 2018 - 2019 ⚽ Solicítalas Bajo pedido 👉📱0996806235, entrega aproximada 15 días. #Ecuador #Q…",,deportivo
,"🚩Nuevas camisetas temporada 2018 - 2019 ⚽ Solicítalas Bajo pedido 👉📱0996806235, entrega aproximada 15 días.… https://t.co/YhhFatxaAL",,deportivo
,"#notideportivo Tabla de posiciones #campeonatoecuatoriano2018 - 8va fecha -  #fútbol #Ecuador #Guayaquil… https://t.co/3O5ysbu53P",,deportivo
,"RT @OldTraffordEc: Fines de semana disfrutalo a puro gol en oldtraffordec   #fútbol #Guayaquil #ecuador🇪🇨 #fds #mejorambiente #futbolistas…",,deportivo
,"Fines de semana disfrutalo a puro gol en oldtraffordec   #fútbol #Guayaquil #ecuador🇪🇨 #fds #mejorambiente… https://t.co/NGyKkSlUI1",,deportivo
,"¿Conoces cuáles y cuántas son las Asociaciones Provinciales de Fútbol Profesional de nuestro país? - En nuestras in… https://t.co/VAKhGRE4WN",,deportivo
,"Una fotografía que nos invita a soñar, ¡Si se puede🇪🇨! - Te esperamos este sábado en @museofef ⚽️🎉 - ENTRADA LIBRE… https://t.co/TWF5HS0tyr",,deportivo
,"Hoy se celebra el cumpleaños de @FranklinSalasN ¡Felicidades Mago ⚽️🇪🇨🎉! - #Museo #MuseoFef #Museum #Futbol #Soccer… https://t.co/Xwg7ABy3ga",,deportivo
,"RT @joffreguerron8: No olvides tu eres el jugador #12 Vamos apoyar al equipo y llenar el estadio contamos con tu apoyo.@barcelonaSC #guayaq…",,deportivo
,"RT @FutbolerosEC_: Rueda de prensa de los DT de #Emelec y #Aucas , Mariano Soso y Luis Soler, luego de la victoria 2x0 del Bombillo. #CSE #…",,deportivo
,"Rueda de prensa de los DT de #Emelec y #Aucas , Mariano Soso y Luis Soler, luego de la victoria 2x0 del Bombillo.… https://t.co/zuEthBLVN7",,deportivo
,"#TBT #Capwell #Emelec #Caldera #MyBoyz #Guayaquil #Ecuador #Soccer #Futbol #Tricamoeon #Bombillo 💡⚽️🏆🏆🏆 @ Estadio B… https://t.co/o4QOuc88bU",,deportivo
,"RT @museofef: ¿Reconoces a los jugadores que conformaron la #Tri en 1991? - En nuestras instalaciones podrás apreciar fotografías histórica…",,deportivo
,"¿Reconoces a los jugadores que conformaron la #Tri en 1991? - En nuestras instalaciones podrás apreciar fotografías… https://t.co/CnzMefTfhh",,deportivo
,"¡VENTE DESPUÉS DEL TRABAJO! Transmisión en vivo en nuestras pantallas señal HD 🍻😎 en nuestras cabañas Canchas Old T… https://t.co/YK1HGhyIzO",,deportivo
,"¡HOY SE DISPUTA LA PUNTA DEL CAMPEONATO! Ven después del trabajo a disfrutar del #CampeonatoNacional 😉🍻🏆⚽️… https://t.co/8KYaAkUvYE",,deportivo
,"¡Gracias por visitarnos! ⚽️🙌🏼🇪🇨 - #Museo #MuseoFef #Museum #Futbol #Soccer #Historia #History #Ecuador #Guayaquil… https://t.co/UH4VDWia1i",,deportivo
,"RT @museofef: Una invitación muy especial de parte del Dt. Hernán Darío Gómez para que visiten y conozcan nuestras instalaciones 🇪🇨⚽️✨ ¡Los…",,deportivo
,"Una invitación muy especial de parte del Dt. Hernán Darío Gómez para que visiten y conozcan nuestras instalaciones… https://t.co/lLkPW7QuvO",,deportivo
,"RT @FutbolFull2017: FutbolFull, te trae la nueva indumentaria del AC Milan 2018 - 2019 ⚽👍 #fútbol #Ecuador #Quito #Guayaquil #Cuenca #Ambat…",,deportivo
,"FutbolFull, te trae la nueva indumentaria del AC Milan 2018 - 2019 ⚽👍 #fútbol #Ecuador #Quito #Guayaquil #Cuenca… https://t.co/JO2F6H8GfT",,deportivo
,"Algún hombre hetero q.desee probar qlito gay x primera vez, envie MD #Guayaquil #Ecuador #DelBombilloSoy #BSC #gye… https://t.co/WYYXs1Y6ia",,deportivo
,"Madre e hija disfrutando de la historia del fútbol ecuatoriano ⚽️🇪🇨✨ - ¡Gracias por visitarnos! - #Museo #MuseoFef… https://t.co/g6luOHrVrv",,deportivo
,"Últimos horarios 😨 para hoy #martes ⚽  Llámanos y reserva  📱6003606 - 0984458888  ¡No te quedes fuera!  #martess… https://t.co/TONSOOBAXy",,deportivo
,"RT @museofef: Nuestras amigos nos visitan desde “La Sultana de Los Andes” - #Riobamba 🇪🇨⚽️❤️✨ - #Museo #MuseoFef #Museum #Futbol #Soccer #H…",,deportivo
,"RT @museofef: Nuestras amigos nos visitan desde “La Sultana de Los Andes” - #Riobamba 🇪🇨⚽️❤️✨ - #Museo #MuseoFef #Museum #Futbol #Soccer #H…",,deportivo
,"Nuestras amigos nos visitan desde “La Sultana de Los Andes” - #Riobamba 🇪🇨⚽️❤️✨ - #Museo #MuseoFef #Museum #Futbol… https://t.co/1upYYOQLs6",,deportivo
,"La Gallada X amigo de mi promoción haciendo #futbol  #soccer #guayaquil #ecuador en Parque Samanes Estadio Chucho B… https://t.co/3edUat4DtG",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"RT @AldoFabrizzio: Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec #Femino…",,deportivo
,"Convocatoria para esta semana del equipo femenino del @csemelec @csefemenino  ⚽️🏃‍♀️🏃🏽‍♀️🏃🏿‍♀️💙💪🏼👱🏻‍♀️  #Emelec… https://t.co/2fqZvELM8L",,deportivo
,"Amigas Softbolera 💪😉💛💙🇺🇦 #entrenamiento #MomentosValkiria • #SoftballFemenino #Softbol #SoftballEnGuayaquil… https://t.co/f9kZwNBNck",,deportivo
,"Te esperamos para disfrutar de lo mejor #CampeonatoNacional ..  #barcelona😲 vs #guayaquilcity  17h00  #barcelonista… https://t.co/phHUFhstwC",,deportivo
,"Te esperamos para disfrutar de lo mejor #CampeonatoNacional ..  #emelec💙 vs #macara  12h00  #emelecista #futboltodo… https://t.co/L2bwrzyFm2",,deportivo
,"🇪🇨Novatón 2018, otro éxito intergeneracional de Club Recreativo para Adultos Mayores Novavida #Ecuador… https://t.co/Xh4c3Id1KM",,deportivo
,"🇪🇨Novatón 2018, otro éxito intergeneracional de Club Recreativo para Adultos Mayores Novavida #Ecuador… https://t.co/7uUwrHi6fk",,deportivo
,"🇪🇨Novatón 2018, otro éxito intergeneracional de Club Recreativo para Adultos Mayores Novavida #Ecuador… https://t.co/Ckc043WzQE",,deportivo
,"Últimos horarios 😨 para hoy #martes ⚽  Llámanos y reserva  📱6003606 - 0984458888  ¡No te quedes fuera!  #martess… https://t.co/TONSOOBAXy",,deportivo
,"🇪🇨Novatón 2018, otro éxito intergeneracional de Club Recreativo para Adultos Mayores Novavida #Ecuador… https://t.co/6KhCgF0W0W",,deportivo
,"🇪🇨Novatón 2018, otro éxito intergeneracional de Club Recreativo para Adultos Mayores Novavida #Ecuador… https://t.co/HUoZu9Vm1R",,deportivo
,"** LA CANOERA ** . .Cuentera de río, desde su canoa junto al cocodrilo Fulgencio transitan aguas espesas, tiempos o… https://t.co/wiz6atSPta",,cultural
,"* DEL AMORFINO Y OTRAS HISTORIAS DE LA TRADICIÓN MONTUBIA * . .- Conferencia sobre el amorfino. Expresión del folkl… https://t.co/Ni2SYhkpXp",,cultural
,"** TARTUFO ** . - Vuelve - . Tartufo de Molière protagonizada por Lucho Mueckay @luchandoando. Una de las mejores c… https://t.co/o3aUFkqrLP",,cultural
,"RT @parquegarzaroja: ‼️Gracias por la nota sobre nuestro #MuseoPHI @elcomerciocom‼️  #Travel #Museos #Art #cultura #Ecuador #Guayaquil http…",,cultural
,"RT @parquegarzaroja: ‼️Gracias por la nota sobre nuestro #MuseoPHI @elcomerciocom‼️  #Travel #Museos #Art #cultura #Ecuador #Guayaquil http…",,cultural
,"‼️Gracias por la nota sobre nuestro #MuseoPHI @elcomerciocom‼️  #Travel #Museos #Art #cultura #Ecuador #Guayaquil https://t.co/9AdwCo3XpS",http://pbs.twimg.com/media/DmQtMKrW0AAXI1c.jpg|,cultural
,"RT @parquegarzaroja: El paraíso existe y está lleno de obras de arte hechas por artistas ecuatorianos.  #SienteJuegaVive #Travel #Turismo #…",,cultural
,"RT @parquegarzaroja: El paraíso existe y está lleno de obras de arte hechas por artistas ecuatorianos.  #SienteJuegaVive #Travel #Turismo #…",,cultural
,"El paraíso existe y está lleno de obras de arte hechas por artistas ecuatorianos.  #SienteJuegaVive #Travel… https://t.co/xIFRYIqjLy",,cultural
,"EN MICRO TEATRO GUAYAQUIL (LA BOTA) - Reservas: 0991127290 / 2374755 . .* La Vida es Un Cabaret * . .* Fantine * .… https://t.co/teqnLkcZeU",,cultural
,"* DEL AMORFINO Y OTRAS HISTORIAS DE LA TRADICIÓN MONTUBIA * . .- Conferencia sobre el amorfino. Expresión del folkl… https://t.co/dd2yO2Qwt0",,cultural
,"** LA CANOERA ** . .Cuentera de río, desde su canoa junto al cocodrilo Fulgencio transitan aguas espesas, tiempos o… https://t.co/QC6HDPOw7B",,cultural
,"RT @javierbrutal72: #Hoy #Guayaquil y #Ecuador sigue la fiesta #Atahualparock 2018 con la #culminación de #feria de #discos y más y el cier…",,cultural
,"#Hoy #Guayaquil y #Ecuador sigue la fiesta #Atahualparock 2018 con la #culminación de #feria de #discos y más y el… https://t.co/8Ot1PEOpWt",,cultural
,"* EL NOMBRE * --&gt; HOY - Monólogo - . María, representa a los anulados desde la negación de sus necesidades y sus de… https://t.co/Bs9cXpyYpG",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  . Te presentamos esta increíble obra teatral :  URGEN… https://t.co/CUJuNhlgHS",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  . Te presentamos esta increíble obra teatral :  DOS L… https://t.co/A06iSZIPSo",,cultural
,"* EL NOMBRE * - Monólogo - . María, representa a los que son anulados desde la negación de sus necesidades y sus de… https://t.co/Jwiamn3NyB",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  . Te presentamos esta increíble obra teatral :  SECUE… https://t.co/Z6XUKspF9L",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  Te presentamos esta increíble obra teatral :  LA HERE… https://t.co/oyu3zOMYLY",,cultural
,"🎭S E G U N D O F E S T I V A L  D E M I C R O T E A T R O🎊  Te presentamos esta increíble obra teatral :  TE PERDON… https://t.co/7KxXsQUqPh",,cultural
,"*** XXI FIARTES-G 2018 *** .- El Festival Internacional Artes Escénicas Guayaquil 2018 . .- Veintiún años cumple el… https://t.co/IdbW8WcXLD",,cultural
